"Competitor","Website","Category","Key Selling Point","ICP","Highlighted Features","Public Pricing","Public Scale Claim","G2","Trustpilot","Rights / Commercial Use","Control / Consistency Relevance","GTM","Internal Note"
"3DInternet","https://3dinternet.com/","Simulation / training","Interactive training simulations","Utilities; oil & gas; manufacturing; government","Simulations; assessments; LMS; AR/VR","Custom / sales-led","n/f","n/f","n/f","n/f","High on environment + action + consequence","Enterprise / project-led","/Users/Peter/Documents/BizDev/research/2026-04-07-3dinternet-competitor-note.md"
"Adobe Firefly","https://www.adobe.com/products/firefly.html#","Design / creative suite","Commercially safe generative AI inside Adobe workflows","Creatives; agencies; brand teams; enterprises","Image; video; boards; Generative Fill; references","Free; Standard; Pro; Pro Plus; Premium; Creative Cloud bundling; May 20 limited-time unlimited partner-model offers","Official asset-generation scale claims; no clean user count","4.4/5 (277)","2.3/5 (7)","Strong commercial safety / enterprise trust","Strong on structure/style refs; moderate on deeper control","Product-led + enterprise","/Users/Peter/Documents/BizDev/research/2026-04-07-adobe-firefly-competitor-note.md"
"Artlabs","https://artlabs.ai/3d-platform","2D -> 3D / immersive commerce","Turn product images into 3D/AR shopping experiences","Ecommerce brands; footwear/fashion; enterprise commerce","Image-to-3D; try-on; 3D CMS; analytics","n/f","Self-reported session and active-customer signals","n/f","n/f","ROI / commerce trust; not rights-first","Relevant but more 2D->3D / immersive commerce than deep control","Sales-led","/Users/Peter/Documents/BizDev/research/2026-04-07-artlabs-competitor-note.md"
"Canva AI","https://www.canva.com/ai-image-generator/","Design workflow","AI creation inside editable collaborative design workflows","Marketers; SMBs; social teams; enterprises","AI images; Magic tools; templates; brand kits","Bundled into Canva plans","Canva platform-wide official scale claims","4.7/5 (6,874)","3.6/5 (3,801)","Broad platform trust","Moderate; more editable workflow than deep control","Product-led + enterprise","/Users/Peter/Documents/BizDev/research/2026-04-07-canva-ai-competitor-note.md"
"ComfyUI","https://www.comfy.org/","Workflow infrastructure","Full node-based control over generative workflows","Power users; developers; technical artists","Nodes; custom workflows; local/cloud; LoRA import","OSS + cloud: $0 / $20 / $35 / $100 / custom","Self-reported millions of users","n/f in reviewed pass","n/f in reviewed pass","Open/local flexibility","Very high on control; workflow composition; LoRA use","Community + cloud upsell","/Users/Peter/Documents/BizDev/research/2026-04-07-comfyui-competitor-note.md"
"Ecomtent","https://www.ecomtent.ai/product-image","Commerce optimization","AI product listing optimization for Amazon/ecommerce","Amazon sellers; agencies; retailers","Product images; infographics; A+ content; analytics; bulk generation","$599 / $1,599 / $5,999","2500+ companies self-reported","n/f in reviewed pass","n/f in reviewed pass","Product-specific training and brand-guideline alignment","High on product accuracy and commerce workflow","B2B workflow / ROI-led","/Users/Peter/Documents/BizDev/research/2026-04-07-ecomtent-competitor-note.md"
"Fotor","https://www.fotor.com/","Broad creative suite","All-in-one AI visual creation and editing","Creators; SMBs; marketers; ecommerce sellers","AI gen; AI Agent Sisi; top-model bundle; product photography; video; templates; editing","Basic / Pro / Pro+; AI Agent Sisi limits; bundled model access; exact paid prices still dynamic in pass","800M+ users platform-wide self-reported","4.4/5 (5)","3.9/5 (1,488)","Broad commercial suite","Moderate; more breadth than deep control","Product-led model-aggregation bundle","/Users/Peter/Documents/BizDev/research/2026-04-07-fotor-competitor-note.md"
"MARTECH3D","https://www.martech3d.com/","3D -> 2D / product marketing","Turn CAD/product data into unlimited renders and sales tools","Manufacturers; industrial marketers; technical sales","Renders; 3D; AR; animations; showrooms; integrations","From $1,499/month + custom","Self-reported operational metrics; no customer count","n/f","n/f","Business workflow / integrations","High; one structured 3D source to many outputs","Enterprise / solution-led","/Users/Peter/Documents/BizDev/research/2026-04-07-martech3d-competitor-note.md"
"Meta AI Image Generator","https://www.meta.ai/ai-image-generator","Broad image generation","Free built-in image generation inside Meta ecosystem","Consumers; creators; SMBs","Generate; edit; restyle; backgrounds; remix/share","Free","Meta AI overall 1B+ MAU self-reported; not image-specific","n/f in reviewed pass","n/f in reviewed pass","Mainstream platform trust","Low-moderate; massive distribution; weaker control framing","Distribution-led","/Users/Peter/Documents/BizDev/research/2026-04-07-meta-ai-image-generator-competitor-note.md"
"Mintly","https://usemintly.com/","Ad creative workflow","Product-accurate on-brand ad generation at scale","DTC; paid social teams; agencies","Image/video ads; Meta Ad Library cloning; brand kits; Ad Spy","$19 / $49 / $199","n/f","n/f","n/f","Commercial rights emphasized in ads workflow","High on ad-structure-as-control-layer","Product-led for marketers","/Users/Peter/Documents/BizDev/research/2026-04-07-mintly-competitor-note.md"
